Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-July-2014,1533.60,1587.00,1533.60,1580.35,1566.785536159600997506,12832,1872,20104992.00,4146,32.31,53.40,46.75
11-July-2014,1538.10,1584.45,1526.10,1532.05,1549.323642805043242680,9597,1428,14868859.00,2842,29.61,58.35,-6.05
10-July-2014,1569.00,1575.00,1516.40,1539.80,1548.217358222582935984,19714,2336,30521557.00,5272,26.74,58.60,-29.20
9-July-2014,1593.00,1620.00,1563.20,1568.90,1589.221912461667131307,10761,1469,17101617.00,3378,31.39,56.80,-24.10
8-July-2014,1665.00,1684.00,1585.00,1600.65,1637.597068336659555433,14531,1864,23795923.00,5621,38.68,99.00,-64.35
7-July-2014,1665.90,1674.35,1639.55,1663.40,1657.127918398186626369,13235,1645,21932088.00,4317,32.62,34.80,-2.50
4-July-2014,1615.00,1670.50,1608.75,1664.15,1653.494008986520219670,28042,3316,46367279.00,7647,27.27,61.75,49.15
3-July-2014,1621.00,1650.00,1593.05,1608.85,1605.933654089642947581,3949,565,6341832.00,1413,35.78,56.95,-12.15
2-July-2014,1548.00,1629.00,1531.25,1615.95,1597.899591331269349845,40375,4839,64515196.00,14749,36.53,97.75,67.95
1-July-2014,1520.00,1533.50,1507.00,1528.65,1518.703198423525845081,6597,934,10018885.00,2996,45.41,26.50,8.65
30-June-2014,1529.00,1532.95,1508.30,1511.80,1519.179612563475644160,5317,814,8077478.00,2700,50.78,24.65,-17.20
27-June-2014,1560.00,1560.00,1511.10,1514.75,1521.403342823032418036,10889,924,16566561.00,8427,77.39,48.90,-45.25
26-June-2014,1537.95,1543.95,1521.40,1532.40,1530.045331790123456790,5184,821,7931755.00,2460,47.45,22.55,-5.55
25-June-2014,1530.00,1546.85,1525.75,1532.45,1534.859549939031149539,9021,1275,13845968.00,2584,28.64,21.10,2.45
24-June-2014,1530.00,1540.15,1519.15,1524.50,1529.544368737474949899,12475,1582,19081066.00,4801,38.48,21.00,-5.50
23-June-2014,1559.00,1567.80,1508.00,1517.20,1521.471074990764684152,13535,2046,20593111.00,4617,34.11,59.80,-41.80
20-June-2014,1597.00,1600.00,1550.00,1552.75,1564.399230700420431165,22358,3643,34976838.00,5676,25.39,50.00,-44.25
19-June-2014,1520.00,1584.80,1520.00,1575.00,1556.158400837604011682,36294,4143,56479213.00,13816,38.07,64.80,55.00
18-June-2014,1472.00,1534.90,1472.00,1525.25,1524.010029522384438063,24727,2076,37684196.00,12707,51.39,62.90,53.25
17-June-2014,1517.85,1517.85,1497.00,1508.10,1505.398943323727185398,10410,1499,15671203.00,5806,55.77,20.85,-9.75
16-June-2014,1519.00,1526.90,1493.00,1499.75,1503.830448291167332445,13518,1706,20328780.00,5566,41.17,33.90,-19.25
13-June-2014,1490.00,1544.40,1488.00,1515.45,1515.406907400044943043,57851,6036,87667805.00,16239,28.07,56.40,25.45
12-June-2014,1453.50,1488.95,1444.50,1484.30,1469.629711598312469742,14459,1799,21249376.00,5105,35.31,44.45,30.80
11-June-2014,1459.90,1460.70,1437.60,1451.55,1450.813377214209660245,10331,1249,14988353.00,4174,40.40,23.10,-8.35
10-June-2014,1426.10,1474.20,1422.00,1453.50,1450.533211177278973889,15281,2043,22165598.00,5522,36.14,52.20,27.40
9-June-2014,1417.50,1440.00,1414.00,1425.20,1429.590814385360992843,11039,1479,15781253.00,3391,30.72,26.00,7.70
